CT-e	NF	PROCESSO
8273	35784	CRR0260
8272	35785	CRR0260
8270	35786	CRR0260
8279	35787	CRR0260
8278	35788	CRR0260
8277	35789	CRR0260
8276	35790	CRR0260
8275	35791	CRR0260
8274	35792	CRR0260
8265	35793	CRR0261
8266	35794	CRR0261
8267	35795	CRR0261
8271	35796	CRR0261
8261	35797	CRR0261
8262	35798	CRR0261
8269	35799	CRR0261
8263	35800	CRR0261
8264	35801	CRR0261
8386	35833	CRR0259
8359	35834	CRR0262
8388	35835	CRR0262
8335	35836	CRR0262
8325	35837	CRR0262
8336	35838	CRR0262
8358	35839	CRR0262
8387	35840	CRR0262
8389	35841	CRR0262
8337	35842	CRR0262
8368	35849	CRR0588
8374	35850	CRR0588
8377	35851	CRR0588
8371	35852	CRR0588
8372	35853	CRR0588
8373	35854	CRR0588
8369	35855	CRR0588
8361	35856	CRR0588
8385	35986	CRR0587
8422	35993	CRR0080
8425	35994	CRR0080
8438	35995	CRR0080
8418	35996	CRR0080
8400	35997	CRR0080
8399	35998	CRR0080
8397	35999	CRR0080
8401	36000	CRR0085
8437	36001	CRR0085
8398	36002	CRR0085
8501	36003	CRR00328
8452	36004	CRR00328
8446	36005	CRR00328
8471	36006	CRR00328
8472	36007	CRR00328
8470	36008	CRR00328
8519	36009	CRR00328
8439	36010	CRR00328
8451	36011	CRR00328
8516	36012	CRR00328
8486	36013	CRR00328
8513	36014	CRR00328
8448	36015	CRR00328
8447	36016	CRR00328
8485	36017	CRR00328
8445	36018	CRR00328
8489	36030	CRR00329
8525	36031	CRR00329
8527	36032	CRR00329
8511	36033	CRR00329
8512	36034	CRR00329
8487	36035	CRR00329
8500	36036	CRR00329
8488	36037	CRR00329
8526	36038	CRR00329
8504	36039	CRR00329
8502	36040	CRR00329
8503	36041	CRR00329
